皇庆农贸市场 , 嘉定区嘉唐公路128号附近
建设镇蟠龙农贸市场 , 崇明县其他大同镇
轿行农贸市场 , 南桥轿行村221号附近
廊下农贸市场 , 廊下廊下镇漕廊公路7822号
里灶农贸市场 , 浦东新区老芦公路1030号临附近
联丰农贸市场 , 浦东新区三林镇高青路洪山路口
罗泾农贸市场 , 宝山区陈镇路158号
南堡农贸市场 , 堡镇堡兴路76号
泥城镇农贸市场 , 浦东新区银品路
南石农贸市场 , 真如南石四路114号
齐贤农贸市场 , 奉贤区农民街139号
钱门农贸市场 , 嘉定区外钱公路1902号附近
强恕农贸市场 , 松江区叶榭镇新源路399弄166号附近
庆华农贸市场 , 青浦区新海路76号
人乐农贸市场 , 松江镇中山二路472号附近
白龙港农贸市场 , 浦东新区凌白公路1097号临附近
白杨农贸市场 , 上海大学顾陈路318号
泖港农贸市场 , 松江区泖港镇中兴路155号
天平综合农贸市场 , 宝山区石太路1690号临附近
九亭虬泾农贸市场停车场 , 九亭虬泾路559弄19号附近
宝静农贸市场 , 万源城/东兰路静安新城6区36号
紫藤农贸市场 , 龙柏地区紫藤路238号
云景农贸市场 , 九亭涞坊路617号
普乐路临时农贸市场 , 春申地区普乐路462临
茸北农贸市场停车场 , 松江镇北松公路7459号
杨家桥农贸市场 , 桃浦真南路
湾镇农贸市场 , 浦东新区普新路85号
绿景农贸市场 , 金桥胶东路
曹江农贸市场 , 江桥海川路177号
富惠农贸市场 , 江桥黄家花园路501号
幸福农家乐 , 陈家镇陈家镇农贸市场118号
牛奶棚(高兴路店) , 春申地区高兴路莘南农贸市场
华环真北农贸市场 , 真如真北路汶水路口
西沙湿地农贸市场 , 崇明县其他西沙湿地旁
御桥农贸市场 , 康桥/周浦北蔡镇御桥村
湄洲农贸市场 , 南门学宫路287号
鹤望农贸市场 , 江桥鹤望路512号
馨富农贸市场 , 江桥嘉峪关路
大新农贸市场 , 南门大新镇
浦众农贸市场 , 闵行区立建路
沙河农贸市场 , 嘉定区华江公路1071号
心诚农贸市场 , 五角场/大学区国权北路29号
建新农贸市场 , 嘉定区建新路9号
宜川农贸市场 , 中山北路/甘泉地区宜川路118号
和宁农贸市场 , 大宁地区万荣路88-106号
仓吉农贸市场 , 松江区玉树路928号
陈家镇裕安农贸市场 , 陈家镇裕安镇
大港农贸市场 , 松江区昆港公路457弄-53号-临
大新农贸市场 , 南门大新镇
港口农贸市场 , 上海南站上中路509号附近
港沿镇农贸市场 , 港沿镇竖新镇新征村
光明农贸市场 , 奉贤区优化路89号
洪卫农贸市场 , 奉贤区五四农场
虹桥农贸市场活鸡零售点 , 闵行区虹梅路2818弄8号
华浜农贸市场 , 新桥明华路
华新农贸市场活鸡水果销售区 , 华新华新街454
华阳桥农贸市场 , 松江区华阳桥路78号
环西农贸市场 , 浦东新区孙环路643号
皇庆农贸市场 , 嘉定区嘉唐公路128号附近
建设镇蟠龙农贸市场 , 崇明县其他大同镇
